,PhoneService,InternetService,OnlineSecurity,Contract,PaperlessBilling,PaymentMethod
4027,No,DSL,No,Month-to-month,Yes,Electronic check
4028,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic)
4029,No,DSL,Yes,Two year,No,Bank transfer (automatic)
4030,Yes,DSL,No,Month-to-month,Yes,Mailed check
4031,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
4032,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4033,Yes,DSL,Yes,One year,No,Mailed check
4034,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic)
4035,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
4036,Yes,No,No internet service,Month-to-month,Yes,Mailed check
4037,Yes,No,No internet service,Two year,No,Mailed check
4038,Yes,No,No internet service,Two year,No,Mailed check
4039,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4040,No,DSL,Yes,One year,No,Mailed check
4041,No,DSL,Yes,Two year,Yes,Bank transfer (automatic)
4042,Yes,DSL,No,Month-to-month,Yes,Electronic check
4043,No,DSL,Yes,Two year,Yes,Credit card (automatic)
4044,Yes,DSL,No,Two year,Yes,Bank transfer (automatic)
4045,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4046,Yes,DSL,No,Month-to-month,Yes,Mailed check
4047,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
4048,No,DSL,Yes,Two year,No,Mailed check
4049,Yes,Fiber optic,No,One year,No,Electronic check
4050,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4051,Yes,Fiber optic,No,Two year,Yes,Credit card (automatic)
4052,No,DSL,No,Month-to-month,Yes,Electronic check
4053,Yes,DSL,Yes,Month-to-month,No,Bank transfer (automatic)
4054,No,DSL,No,Month-to-month,Yes,Electronic check
4055,No,DSL,Yes,Two year,No,Bank transfer (automatic)
4056,No,DSL,No,Month-to-month,Yes,Electronic check
4057,Yes,No,No internet service,Two year,No,Mailed check
4058,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4059,Yes,DSL,No,Month-to-month,No,Mailed check
4060,Yes,DSL,No,Two year,No,Credit card (automatic)
4061,Yes,DSL,Yes,Month-to-month,No,Bank transfer (automatic)
4062,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4063,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4064,Yes,DSL,Yes,Month-to-month,No,Electronic check
4065,Yes,No,No internet service,Month-to-month,No,Mailed check
4066,Yes,DSL,Yes,One year,Yes,Bank transfer (automatic)
4067,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic)
4068,Yes,No,No internet service,One year,Yes,Mailed check
4069,Yes,Fiber optic,Yes,Two year,Yes,Electronic check
4070,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4071,No,DSL,Yes,Month-to-month,Yes,Electronic check
4072,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4073,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
4074,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4075,No,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
4076,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
4077,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4078,Yes,DSL,Yes,One year,Yes,Bank transfer (automatic)
4079,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
4080,Yes,No,No internet service,Two year,No,Mailed check
4081,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4082,Yes,DSL,Yes,One year,No,Electronic check
4083,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4084,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4085,No,DSL,No,One year,Yes,Credit card (automatic)
4086,Yes,DSL,Yes,Two year,No,Credit card (automatic)
4087,Yes,No,No internet service,Month-to-month,Yes,Mailed check
4088,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4089,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4090,Yes,DSL,Yes,Month-to-month,No,Mailed check
4091,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
4092,Yes,No,No internet service,Month-to-month,Yes,Mailed check
4093,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4094,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4095,Yes,Fiber optic,Yes,Month-to-month,Yes,Mailed check
4096,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
4097,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4098,Yes,No,No internet service,Month-to-month,Yes,Mailed check
4099,No,DSL,Yes,Month-to-month,No,Bank transfer (automatic)
4100,Yes,No,No internet service,Two year,No,Electronic check
4101,Yes,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
4102,Yes,DSL,No,Month-to-month,No,Electronic check
4103,Yes,Fiber optic,No,Two year,Yes,Credit card (automatic)
4104,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
4105,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic)
4106,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4107,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
4108,Yes,No,No internet service,One year,Yes,Bank transfer (automatic)
4109,No,DSL,No,Month-to-month,Yes,Electronic check
4110,Yes,DSL,Yes,Two year,No,Mailed check
4111,Yes,DSL,No,One year,No,Bank transfer (automatic)
4112,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
4113,Yes,No,No internet service,One year,Yes,Credit card (automatic)
4114,Yes,No,No internet service,Two year,No,Mailed check
4115,Yes,DSL,Yes,One year,No,Bank transfer (automatic)
4116,Yes,No,No internet service,One year,No,Bank transfer (automatic)
4117,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic)
4118,Yes,Fiber optic,No,Month-to-month,No,Credit card (automatic)
4119,Yes,No,No internet service,One year,Yes,Mailed check
4120,Yes,Fiber optic,No,One year,No,Bank transfer (automatic)
4121,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4122,Yes,DSL,Yes,One year,No,Credit card (automatic)
4123,Yes,Fiber optic,No,Month-to-month,No,Credit card (automatic)
4124,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4125,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
4126,Yes,No,No internet service,Month-to-month,No,Mailed check
4127,Yes,No,No internet service,Two year,Yes,Mailed check
4128,No,DSL,No,Month-to-month,Yes,Electronic check
4129,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
4130,No,DSL,No,Month-to-month,No,Electronic check
4131,Yes,No,No internet service,Month-to-month,Yes,Mailed check
4132,No,DSL,No,Month-to-month,Yes,Electronic check
4133,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4134,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4135,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
4136,Yes,No,No internet service,One year,No,Bank transfer (automatic)
4137,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic)
4138,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4139,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4140,Yes,Fiber optic,No,One year,No,Bank transfer (automatic)
4141,No,DSL,No,Month-to-month,Yes,Electronic check
4142,Yes,DSL,Yes,One year,No,Credit card (automatic)
4143,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4144,Yes,Fiber optic,Yes,Month-to-month,No,Mailed check
4145,Yes,DSL,Yes,Month-to-month,No,Bank transfer (automatic)
4146,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4147,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
4148,Yes,No,No internet service,Month-to-month,No,Credit card (automatic)
4149,No,DSL,No,Two year,No,Electronic check
4150,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4151,No,DSL,No,Month-to-month,Yes,Electronic check
4152,Yes,DSL,Yes,Two year,No,Bank transfer (automatic)
4153,Yes,No,No internet service,One year,No,Mailed check
4154,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4155,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
4156,Yes,No,No internet service,Month-to-month,Yes,Mailed check
4157,Yes,DSL,No,Month-to-month,No,Credit card (automatic)
4158,Yes,No,No internet service,Two year,No,Mailed check
4159,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
4160,Yes,DSL,Yes,One year,No,Bank transfer (automatic)
4161,Yes,DSL,No,Month-to-month,No,Mailed check
4162,No,DSL,Yes,Two year,No,Bank transfer (automatic)
4163,Yes,DSL,Yes,One year,No,Credit card (automatic)
4164,Yes,Fiber optic,No,Two year,No,Credit card (automatic)
4165,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
4166,Yes,No,No internet service,One year,No,Credit card (automatic)
4167,Yes,DSL,No,One year,No,Bank transfer (automatic)
4168,No,DSL,Yes,Two year,Yes,Mailed check
4169,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4170,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic)
4171,Yes,No,No internet service,Month-to-month,Yes,Mailed check
4172,Yes,No,No internet service,Month-to-month,No,Mailed check
4173,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4174,No,DSL,No,Month-to-month,No,Credit card (automatic)
4175,Yes,No,No internet service,One year,No,Mailed check
4176,Yes,No,No internet service,One year,No,Bank transfer (automatic)
4177,Yes,DSL,No,Month-to-month,No,Mailed check
4178,No,DSL,Yes,Two year,Yes,Mailed check
4179,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4180,No,DSL,No,Month-to-month,No,Electronic check
4181,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4182,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4183,No,DSL,No,Month-to-month,No,Mailed check
4184,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
4185,Yes,No,No internet service,Month-to-month,No,Electronic check
4186,Yes,Fiber optic,No,Two year,Yes,Electronic check
4187,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
4188,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4189,Yes,DSL,Yes,One year,No,Credit card (automatic)
4190,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
4191,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4192,Yes,No,No internet service,One year,No,Bank transfer (automatic)
4193,Yes,No,No internet service,Month-to-month,No,Credit card (automatic)
4194,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
4195,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
4196,Yes,No,No internet service,Two year,No,Mailed check
4197,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4198,Yes,No,No internet service,Two year,No,Mailed check
4199,Yes,Fiber optic,No,One year,Yes,Electronic check
4200,No,DSL,Yes,Two year,No,Credit card (automatic)
4201,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
4202,Yes,No,No internet service,One year,No,Bank transfer (automatic)
4203,Yes,No,No internet service,One year,No,Mailed check
4204,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4205,Yes,DSL,Yes,Two year,No,Credit card (automatic)
4206,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
4207,No,DSL,Yes,Month-to-month,Yes,Mailed check
4208,No,DSL,No,One year,Yes,Credit card (automatic)
4209,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
4210,Yes,DSL,No,One year,Yes,Electronic check
4211,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4212,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4213,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
4214,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4215,Yes,Fiber optic,No,Two year,Yes,Electronic check
4216,Yes,DSL,Yes,Two year,No,Bank transfer (automatic)
4217,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4218,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic)
4219,Yes,Fiber optic,No,One year,No,Electronic check
4220,Yes,No,No internet service,One year,No,Mailed check
4221,Yes,No,No internet service,Month-to-month,No,Credit card (automatic)
4222,Yes,Fiber optic,Yes,One year,No,Credit card (automatic)
4223,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
4224,Yes,No,No internet service,Two year,No,Mailed check
4225,Yes,No,No internet service,Month-to-month,No,Mailed check
4226,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4227,Yes,DSL,Yes,Two year,No,Bank transfer (automatic)
4228,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4229,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
4230,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
4231,Yes,DSL,Yes,Two year,No,Bank transfer (automatic)
4232,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
4233,No,DSL,Yes,Two year,No,Bank transfer (automatic)
4234,Yes,No,No internet service,One year,No,Mailed check
4235,Yes,Fiber optic,Yes,One year,No,Electronic check
4236,Yes,No,No internet service,Month-to-month,No,Credit card (automatic)
4237,Yes,DSL,No,Month-to-month,Yes,Electronic check
4238,Yes,No,No internet service,One year,No,Mailed check
4239,No,DSL,No,One year,Yes,Credit card (automatic)
4240,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4241,Yes,DSL,Yes,Month-to-month,No,Mailed check
4242,Yes,No,No internet service,Month-to-month,No,Mailed check
4243,Yes,DSL,Yes,Month-to-month,Yes,Credit card (automatic)
4244,Yes,No,No internet service,Two year,No,Credit card (automatic)
4245,Yes,No,No internet service,Two year,No,Mailed check
4246,Yes,Fiber optic,Yes,Two year,Yes,Electronic check
4247,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
4248,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4249,Yes,DSL,No,One year,Yes,Mailed check
4250,Yes,Fiber optic,Yes,One year,No,Credit card (automatic)
4251,No,DSL,Yes,Two year,Yes,Mailed check
4252,Yes,DSL,No,Month-to-month,Yes,Mailed check
4253,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4254,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
4255,Yes,DSL,No,One year,Yes,Mailed check
4256,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
4257,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4258,Yes,Fiber optic,Yes,One year,Yes,Mailed check
4259,Yes,No,No internet service,Month-to-month,Yes,Mailed check
4260,Yes,DSL,No,One year,No,Electronic check
4261,Yes,DSL,No,One year,Yes,Mailed check
4262,Yes,DSL,Yes,Month-to-month,No,Bank transfer (automatic)
4263,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
4264,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4265,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4266,Yes,Fiber optic,Yes,One year,No,Electronic check
4267,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic)
4268,Yes,Fiber optic,No,One year,Yes,Electronic check
4269,Yes,Fiber optic,Yes,Month-to-month,No,Credit card (automatic)
4270,Yes,DSL,Yes,Two year,Yes,Electronic check
4271,Yes,No,No internet service,One year,No,Mailed check
4272,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
4273,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4274,Yes,No,No internet service,One year,No,Bank transfer (automatic)
4275,Yes,No,No internet service,Month-to-month,Yes,Mailed check
4276,Yes,DSL,No,Month-to-month,Yes,Mailed check
4277,Yes,No,No internet service,Month-to-month,Yes,Mailed check
4278,Yes,Fiber optic,No,One year,Yes,Electronic check
4279,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic)
4280,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
4281,No,DSL,Yes,Month-to-month,Yes,Mailed check
4282,Yes,Fiber optic,No,One year,No,Bank transfer (automatic)
4283,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4284,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4285,Yes,DSL,Yes,Two year,No,Credit card (automatic)
4286,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
4287,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
4288,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4289,Yes,No,No internet service,Two year,No,Mailed check
4290,No,DSL,No,Month-to-month,No,Electronic check
4291,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic)
4292,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4293,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
4294,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic)
4295,Yes,DSL,Yes,One year,Yes,Bank transfer (automatic)
4296,Yes,DSL,Yes,Month-to-month,No,Electronic check
4297,Yes,DSL,Yes,Two year,No,Mailed check
4298,Yes,DSL,No,Month-to-month,No,Mailed check
4299,Yes,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
4300,Yes,No,No internet service,One year,No,Bank transfer (automatic)
4301,Yes,No,No internet service,Two year,Yes,Mailed check
4302,Yes,Fiber optic,Yes,One year,No,Mailed check
4303,Yes,No,No internet service,Two year,No,Mailed check
4304,Yes,No,No internet service,One year,No,Credit card (automatic)
4305,Yes,No,No internet service,Two year,Yes,Mailed check
4306,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
4307,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4308,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4309,No,DSL,No,Month-to-month,Yes,Electronic check
4310,No,DSL,Yes,Two year,Yes,Bank transfer (automatic)
4311,No,DSL,No,Month-to-month,Yes,Credit card (automatic)
4312,Yes,DSL,No,Two year,No,Credit card (automatic)
4313,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
4314,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4315,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4316,Yes,DSL,Yes,Two year,No,Mailed check
4317,Yes,No,No internet service,One year,Yes,Credit card (automatic)
4318,Yes,DSL,No,One year,Yes,Bank transfer (automatic)
4319,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic)
4320,Yes,No,No internet service,One year,No,Electronic check
4321,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
4322,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4323,Yes,Fiber optic,No,One year,No,Electronic check
4324,Yes,DSL,Yes,Month-to-month,No,Electronic check
4325,Yes,No,No internet service,Month-to-month,No,Credit card (automatic)
4326,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4327,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
4328,Yes,DSL,No,Month-to-month,Yes,Electronic check
4329,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check
4330,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4331,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
4332,Yes,DSL,Yes,Two year,No,Bank transfer (automatic)
4333,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
4334,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check
4335,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4336,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic)
4337,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4338,No,DSL,No,Month-to-month,No,Credit card (automatic)
4339,Yes,DSL,No,One year,No,Credit card (automatic)
4340,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
4341,Yes,DSL,No,Month-to-month,Yes,Electronic check
4342,Yes,DSL,Yes,Two year,No,Bank transfer (automatic)
4343,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4344,Yes,DSL,No,Two year,Yes,Electronic check
4345,Yes,No,No internet service,One year,Yes,Credit card (automatic)
4346,Yes,DSL,Yes,Month-to-month,Yes,Credit card (automatic)
4347,Yes,Fiber optic,No,Two year,Yes,Mailed check
4348,Yes,No,No internet service,Month-to-month,Yes,Mailed check
4349,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
4350,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
4351,Yes,No,No internet service,Month-to-month,No,Mailed check
4352,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
4353,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4354,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
4355,Yes,DSL,No,Month-to-month,No,Electronic check
4356,Yes,No,No internet service,Month-to-month,No,Mailed check
4357,Yes,No,No internet service,Month-to-month,No,Credit card (automatic)
4358,Yes,DSL,No,One year,Yes,Electronic check
4359,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4360,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check
4361,Yes,DSL,Yes,One year,Yes,Electronic check
4362,Yes,No,No internet service,One year,No,Credit card (automatic)
4363,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
4364,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
4365,Yes,DSL,No,Two year,No,Credit card (automatic)
4366,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
4367,Yes,DSL,No,One year,No,Credit card (automatic)
4368,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4369,No,DSL,No,Month-to-month,No,Electronic check
4370,Yes,DSL,Yes,One year,No,Mailed check
4371,Yes,No,No internet service,One year,No,Bank transfer (automatic)
4372,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic)
4373,Yes,No,No internet service,One year,No,Mailed check
4374,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
4375,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic)
4376,Yes,Fiber optic,Yes,One year,Yes,Electronic check
4377,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4378,Yes,No,No internet service,One year,Yes,Bank transfer (automatic)
4379,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
4380,Yes,No,No internet service,Two year,No,Mailed check
4381,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4382,Yes,DSL,No,Month-to-month,No,Mailed check
4383,Yes,DSL,Yes,One year,No,Credit card (automatic)
4384,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic)
4385,Yes,No,No internet service,One year,Yes,Mailed check
4386,Yes,DSL,Yes,Two year,No,Bank transfer (automatic)
4387,Yes,No,No internet service,Month-to-month,Yes,Mailed check
4388,Yes,No,No internet service,Two year,No,Mailed check
4389,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
4390,Yes,DSL,Yes,Month-to-month,Yes,Mailed check
4391,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
4392,Yes,No,No internet service,Month-to-month,No,Mailed check
4393,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4394,Yes,DSL,No,Month-to-month,No,Electronic check
4395,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4396,No,DSL,No,Month-to-month,Yes,Electronic check
4397,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic)
4398,Yes,DSL,Yes,Two year,No,Credit card (automatic)
4399,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
4400,No,DSL,No,Month-to-month,Yes,Electronic check
4401,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
4402,No,DSL,Yes,Month-to-month,Yes,Credit card (automatic)
4403,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic)
4404,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4405,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4406,Yes,DSL,Yes,Month-to-month,Yes,Credit card (automatic)
4407,Yes,No,No internet service,Month-to-month,No,Mailed check
4408,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic)
4409,No,DSL,Yes,Two year,No,Credit card (automatic)
4410,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
4411,No,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
4412,Yes,No,No internet service,One year,No,Bank transfer (automatic)
4413,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4414,Yes,No,No internet service,Month-to-month,No,Mailed check
4415,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
4416,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
4417,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
4418,Yes,DSL,Yes,One year,No,Credit card (automatic)
4419,Yes,No,No internet service,Month-to-month,No,Credit card (automatic)
4420,Yes,DSL,Yes,One year,No,Credit card (automatic)
4421,Yes,Fiber optic,No,Month-to-month,No,Mailed check
4422,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
4423,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
4424,No,DSL,No,Month-to-month,No,Electronic check
4425,Yes,DSL,Yes,Month-to-month,No,Mailed check
4426,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
4427,Yes,Fiber optic,No,Two year,No,Credit card (automatic)
4428,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4429,Yes,DSL,Yes,Two year,No,Bank transfer (automatic)
4430,Yes,DSL,Yes,Month-to-month,No,Bank transfer (automatic)
4431,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4432,No,DSL,Yes,Two year,Yes,Mailed check
4433,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4434,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check
4435,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
4436,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
4437,Yes,Fiber optic,No,Two year,No,Credit card (automatic)
4438,Yes,No,No internet service,Two year,Yes,Mailed check
4439,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
4440,Yes,DSL,No,Two year,Yes,Electronic check
4441,Yes,No,No internet service,Two year,No,Electronic check
4442,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4443,Yes,DSL,No,Month-to-month,No,Mailed check
4444,Yes,No,No internet service,Month-to-month,No,Mailed check
4445,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic)
4446,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4447,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
4448,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4449,Yes,Fiber optic,No,Two year,No,Electronic check
4450,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
4451,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
4452,Yes,DSL,Yes,Two year,No,Credit card (automatic)
4453,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4454,Yes,No,No internet service,Month-to-month,No,Mailed check
4455,Yes,DSL,No,Month-to-month,Yes,Mailed check
4456,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
4457,Yes,Fiber optic,Yes,Month-to-month,No,Bank transfer (automatic)
4458,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4459,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
4460,Yes,Fiber optic,No,Month-to-month,No,Electronic check
4461,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4462,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4463,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
4464,Yes,Fiber optic,Yes,Month-to-month,No,Bank transfer (automatic)
4465,No,DSL,No,One year,Yes,Electronic check
